标本ID,日期,星期,采集时间,采集时段,来源科室/采血点,患者类型,标本类型,检验专业组,检验项目数,签收时间,前处理开始,前处理完成,前处理状态,前处理报错类型,前处理耗时_分钟,上机时间,报告时间,TAT_分钟,目标TAT_分钟,是否超时,前处理工位,仪器编号,操作人
S0804-00370,2026-08-04,周二,07:14,07-10 早高峰,心内科病区,住院,血清,免疫,2,07:45,07:51,08:08,正常,,17,08:14,08:50,96,120,否,前处理-B线,BIO-01,OP-108
S0804-00371,2026-08-04,周二,10:08,10-12,门诊采血中心,门诊,全血,免疫,9,10:16,10:18,10:23,正常,,5,10:26,10:50,42,120,否,前处理-A线,BIO-02,OP-108
S0804-00372,2026-08-04,周二,10:32,10-12,门诊采血中心,门诊,全血,免疫,14,10:53,10:59,11:09,正常,,10,11:16,11:37,65,120,否,前处理-A线,MICRO-01,OP-104
S0804-00373,2026-08-04,周二,10:15,10-12,呼吸科病区,住院,血清,生化,4,11:06,11:07,11:14,正常,,7,11:18,11:49,94,120,否,前处理-A线,IMM-01,OP-107
S0804-00374,2026-08-04,周二,10:31,10-12,肾内科病区,住院,血清,免疫,17,11:02,11:08,11:16,正常,,8,11:21,11:45,74,120,否,前处理-手工台,MICRO-01,OP-108
S0804-00375,2026-08-04,周二,14:35,14-17,心内科病区,住院,血清,生化,10,14:56,15:02,15:11,正常,,9,15:13,15:52,77,120,否,前处理-手工台,IMM-01,OP-105
S0804-00376,2026-08-04,周二,11:45,10-12,门诊采血中心,门诊,血清,生化,1,12:02,12:07,12:14,正常,,7,12:16,12:42,57,120,否,前处理-手工台,MICRO-01,OP-104
S0804-00377,2026-08-04,周二,13:03,12-14,门诊采血中心,门诊,全血,生化,12,13:11,13:15,13:24,正常,,9,13:30,14:01,58,120,否,前处理-A线,IMM-02,OP-103
S0804-00378,2026-08-04,周二,08:48,07-10 早高峰,内分泌科病区,住院,全血,血液,6,09:29,09:34,09:49,正常,,15,09:52,10:36,108,120,否,前处理-手工台,MICRO-01,OP-108
S0804-00379,2026-08-04,周二,15:29,14-17,消化科病区,住院,其他,生化,4,16:15,16:21,16:25,正常,,4,16:29,16:59,90,120,否,前处理-B线,IMM-02,OP-107
S0804-00380,2026-08-04,周二,07:35,07-10 早高峰,门诊采血中心,门诊,全血,血液,6,07:59,08:03,08:31,正常,,28,08:39,09:20,105,120,否,前处理-A线,IMM-02,OP-106
S0804-00381,2026-08-04,周二,14:02,14-17,呼吸科病区,住院,血清,凝血,1,14:46,14:51,14:56,正常,,5,15:03,15:52,110,120,否,前处理-A线,HEM-02,OP-106
S0804-00382,2026-08-04,周二,17:35,17-20,肾内科病区,住院,血清,生化,10,18:22,18:26,18:34,正常,,8,18:41,19:06,91,120,否,前处理-B线,IMM-02,OP-104
S0804-00383,2026-08-04,周二,13:48,12-14,门诊采血中心,门诊,血清,凝血,2,13:57,14:03,14:10,正常,,7,14:15,14:51,63,120,否,前处理-手工台,COAG-01,OP-104
S0804-00384,2026-08-04,周二,08:39,07-10 早高峰,呼吸科病区,住院,其他,微生物,1,09:29,09:34,09:51,正常,,17,09:53,13:05,266,120,是,前处理-A线,HEM-01,OP-106
S0804-00385,2026-08-04,周二,08:55,07-10 早高峰,门诊采血中心,门诊,血清,免疫,11,09:13,09:14,09:40,正常,,26,09:43,10:17,82,120,否,前处理-手工台,COAG-01,OP-105
S0804-00386,2026-08-04,周二,09:42,07-10 早高峰,急诊采血,急诊,血清,凝血,6,10:01,10:06,10:29,正常,,23,10:34,11:09,87,60,是,前处理-B线,HEM-02,OP-101
S0804-00387,2026-08-04,周二,15:23,14-17,肾内科病区,住院,血清,血液,4,15:45,15:50,15:57,正常,,7,16:03,16:50,87,120,否,前处理-B线,BIO-01,OP-102
S0804-00388,2026-08-04,周二,15:36,14-17,儿科门诊采血窗口,门诊,血浆,微生物,3,15:52,15:56,16:32,报错,样本量不足,36,16:35,18:57,201,120,是,前处理-A线,MICRO-01,OP-102
S0804-00389,2026-08-04,周二,08:10,07-10 早高峰,门诊采血中心,门诊,血清,血液,5,08:33,08:38,08:53,正常,,15,09:00,09:36,86,120,否,前处理-A线,COAG-01,OP-107
S0804-00390,2026-08-04,周二,13:58,12-14,门诊采血中心,门诊,全血,生化,18,14:14,14:20,14:30,正常,,10,14:37,15:01,63,120,否,前处理-A线,BIO-01,OP-102
S0804-00391,2026-08-04,周二,15:17,14-17,门诊采血中心,门诊,血清,凝血,1,15:33,15:34,16:01,报错,条码识别失败,27,16:03,16:25,68,120,否,前处理-手工台,BIO-02,OP-106
S0804-00392,2026-08-04,周二,14:54,14-17,门诊采血中心,门诊,血浆,免疫,11,15:12,15:16,15:23,正常,,7,15:28,15:50,56,120,否,前处理-手工台,BIO-01,OP-103
S0804-00393,2026-08-04,周二,15:05,14-17,ICU,住院,血浆,生化,10,15:51,15:57,16:06,正常,,9,16:14,16:49,104,90,是,前处理-手工台,HEM-01,OP-102
S0804-00394,2026-08-04,周二,14:11,14-17,门诊采血中心,门诊,血清,血液,3,14:22,14:25,14:32,正常,,7,14:38,15:20,69,120,否,前处理-B线,IMM-02,OP-102
S0804-00395,2026-08-04,周二,18:46,17-20,门诊采血中心,门诊,血清,凝血,5,18:59,19:02,19:10,正常,,8,19:13,20:08,82,120,否,前处理-手工台,MICRO-01,OP-108
S0804-00396,2026-08-04,周二,09:24,07-10 早高峰,儿科门诊采血窗口,门诊,血清,生化,5,09:45,09:46,10:17,报错,条码识别失败,31,10:25,11:19,115,120,否,前处理-A线,IMM-01,OP-108
S0804-00397,2026-08-04,周二,10:39,10-12,体检中心,体检,其他,生化,11,10:59,11:05,11:09,正常,,4,11:16,11:47,68,240,否,前处理-A线,MICRO-01,OP-106
S0804-00398,2026-08-04,周二,07:37,07-10 早高峰,ICU,住院,血清,生化,12,08:11,08:16,08:43,正常,,27,08:48,09:16,99,90,是,前处理-手工台,HEM-02,OP-105
S0804-00399,2026-08-04,周二,09:39,07-10 早高峰,门诊采血中心,门诊,全血,生化,5,09:52,09:56,10:17,正常,,21,10:21,11:14,95,120,否,前处理-手工台,BIO-01,OP-105
S0804-00400,2026-08-04,周二,10:42,10-12,门诊采血中心,门诊,全血,血液,2,11:07,11:11,11:18,正常,,7,11:22,11:44,62,120,否,前处理-B线,IMM-01,OP-101
S0804-00401,2026-08-04,周二,07:40,07-10 早高峰,门诊采血中心,门诊,血清,生化,9,08:01,08:02,08:30,正常,,28,08:36,09:12,92,120,否,前处理-A线,HEM-01,OP-101
S0804-00402,2026-08-04,周二,13:09,12-14,门诊采血中心,门诊,血清,微生物,6,13:33,13:37,13:44,正常,,7,13:46,16:39,210,120,是,前处理-A线,HEM-01,OP-106
S0804-00403,2026-08-04,周二,15:11,14-17,门诊采血中心,门诊,全血,生化,7,15:25,15:31,15:38,正常,,7,15:41,16:33,82,120,否,前处理-A线,IMM-01,OP-106
S0804-00404,2026-08-04,周二,11:43,10-12,门诊采血中心,门诊,血清,生化,5,11:53,11:54,11:59,正常,,5,12:03,12:57,74,120,否,前处理-手工台,MICRO-01,OP-101
S0804-00405,2026-08-04,周二,08:25,07-10 早高峰,儿科门诊采血窗口,门诊,血清,凝血,1,08:45,08:48,09:00,正常,,12,09:03,09:28,63,120,否,前处理-手工台,IMM-02,OP-105
S0804-00406,2026-08-04,周二,11:12,10-12,儿科门诊采血窗口,门诊,全血,生化,5,11:23,11:27,11:37,正常,,10,11:39,12:23,71,120,否,前处理-B线,BIO-02,OP-104
S0804-00407,2026-08-04,周二,07:27,07-10 早高峰,消化科病区,住院,全血,免疫,17,08:13,08:17,08:42,正常,,25,08:46,09:17,110,120,否,前处理-A线,BIO-02,OP-107
S0804-00408,2026-08-04,周二,12:54,12-14,儿科门诊采血窗口,门诊,血清,微生物,1,13:04,13:05,13:23,报错,条码识别失败,18,13:30,16:34,220,120,是,前处理-手工台,BIO-02,OP-103
S0804-00409,2026-08-04,周二,08:39,07-10 早高峰,急诊采血,急诊,血清,免疫,12,08:58,09:00,09:28,正常,,28,09:31,09:54,75,60,是,前处理-B线,HEM-01,OP-104
S0804-00410,2026-08-04,周二,17:30,17-20,体检中心,体检,尿液,免疫,14,17:40,17:44,17:54,正常,,10,18:02,18:50,80,240,否,前处理-手工台,BIO-01,OP-106
S0804-00411,2026-08-04,周二,08:19,07-10 早高峰,门诊采血中心,门诊,血清,免疫,14,08:28,08:33,08:51,正常,,18,08:55,09:18,59,120,否,前处理-B线,IMM-02,OP-107
S0804-00412,2026-08-04,周二,07:37,07-10 早高峰,儿科门诊采血窗口,门诊,尿液,血液,3,07:58,08:00,08:25,正常,,25,08:33,09:16,99,120,否,前处理-手工台,HEM-01,OP-105
S0804-00413,2026-08-04,周二,09:20,07-10 早高峰,消化科病区,住院,血清,免疫,13,10:10,10:11,10:43,正常,,32,10:49,11:15,115,120,否,前处理-A线,IMM-02,OP-101
S0804-00414,2026-08-04,周二,09:37,07-10 早高峰,门诊采血中心,门诊,全血,血液,3,09:46,09:47,10:08,正常,,21,10:12,10:51,74,120,否,前处理-手工台,HEM-02,OP-102
S0804-00415,2026-08-04,周二,17:28,17-20,门诊采血中心,门诊,全血,血液,2,17:48,17:49,17:58,正常,,9,18:04,18:55,87,120,否,前处理-B线,COAG-01,OP-107
S0804-00416,2026-08-04,周二,11:40,10-12,门诊采血中心,门诊,血清,生化,3,11:52,11:54,12:03,正常,,9,12:10,12:50,70,120,否,前处理-A线,IMM-02,OP-106
S0804-00417,2026-08-04,周二,09:21,07-10 早高峰,体检中心,体检,其他,凝血,3,09:30,09:32,09:54,正常,,22,10:02,10:36,75,240,否,前处理-B线,MICRO-01,OP-106
S0804-00418,2026-08-04,周二,10:36,10-12,肾内科病区,住院,血清,微生物,3,11:17,11:22,11:27,正常,,5,11:34,14:55,259,120,是,前处理-A线,COAG-01,OP-103
S0804-00419,2026-08-04,周二,07:36,07-10 早高峰,体检中心,体检,血清,血液,4,07:52,07:56,08:15,正常,,19,08:23,09:07,91,240,否,前处理-B线,IMM-01,OP-103
S0804-00420,2026-08-04,周二,11:01,10-12,消化科病区,住院,血清,免疫,9,11:39,11:45,12:22,报错,条码识别失败,37,12:24,13:06,125,120,是,前处理-B线,COAG-01,OP-103
S0804-00421,2026-08-04,周二,09:29,07-10 早高峰,呼吸科病区,住院,全血,生化,6,10:15,10:19,10:41,正常,,22,10:44,11:11,102,120,否,前处理-手工台,COAG-01,OP-105
S0804-00422,2026-08-04,周二,14:01,14-17,消化科病区,住院,全血,血液,4,14:44,14:45,14:55,正常,,10,15:03,15:45,104,120,否,前处理-B线,HEM-01,OP-108
S0804-00423,2026-08-04,周二,08:57,07-10 早高峰,门诊采血中心,门诊,血清,生化,11,09:08,09:13,09:29,正常,,16,09:32,10:21,84,120,否,前处理-手工台,MICRO-01,OP-108
S0804-00424,2026-08-04,周二,09:05,07-10 早高峰,体检中心,体检,血浆,生化,2,09:19,09:22,09:38,正常,,16,09:44,10:34,89,240,否,前处理-手工台,HEM-01,OP-102
S0804-00425,2026-08-04,周二,07:58,07-10 早高峰,门诊采血中心,门诊,血清,生化,8,08:22,08:23,08:43,正常,,20,08:48,09:27,89,120,否,前处理-手工台,BIO-01,OP-105
S0804-00426,2026-08-04,周二,07:39,07-10 早高峰,门诊采血中心,门诊,血清,血液,5,07:59,08:05,08:27,正常,,22,08:33,09:11,92,120,否,前处理-手工台,HEM-02,OP-108
S0804-00427,2026-08-04,周二,11:38,10-12,呼吸科病区,住院,血清,血液,6,12:15,12:20,12:24,正常,,4,12:31,13:00,82,120,否,前处理-A线,HEM-01,OP-108
S0804-00428,2026-08-04,周二,14:53,14-17,心内科病区,住院,血清,免疫,8,15:40,15:41,15:50,正常,,9,15:55,16:42,109,120,否,前处理-A线,BIO-02,OP-102
S0804-00429,2026-08-04,周二,10:17,10-12,消化科病区,住院,全血,凝血,6,11:12,11:15,11:21,正常,,6,11:28,11:53,96,120,否,前处理-手工台,BIO-02,OP-108
S0804-00430,2026-08-04,周二,08:53,07-10 早高峰,体检中心,体检,血清,生化,14,09:04,09:05,09:30,正常,,25,09:32,10:01,68,240,否,前处理-B线,IMM-01,OP-107
S0804-00431,2026-08-04,周二,18:08,17-20,ICU,住院,血清,免疫,15,18:37,18:40,18:45,正常,,5,18:50,19:43,95,90,是,前处理-手工台,IMM-02,OP-106
S0804-00432,2026-08-04,周二,10:22,10-12,内分泌科病区,住院,血清,生化,10,10:56,10:58,11:03,正常,,5,11:08,12:01,99,120,否,前处理-手工台,IMM-01,OP-107
S0804-00433,2026-08-04,周二,09:05,07-10 早高峰,肾内科病区,住院,血清,血液,1,09:42,09:44,10:05,正常,,21,10:11,10:45,100,120,否,前处理-手工台,COAG-01,OP-102
S0804-00434,2026-08-04,周二,08:32,07-10 早高峰,消化科病区,住院,全血,生化,15,09:18,09:20,09:35,正常,,15,09:43,10:16,104,120,否,前处理-手工台,COAG-01,OP-106
S0804-00435,2026-08-04,周二,09:45,07-10 早高峰,急诊采血,急诊,血浆,血液,4,09:54,09:56,10:24,正常,,28,10:31,11:08,83,60,是,前处理-A线,MICRO-01,OP-102
S0804-00436,2026-08-04,周二,12:32,12-14,ICU,住院,血清,生化,5,12:53,12:55,13:02,正常,,7,13:09,13:31,59,90,否,前处理-手工台,BIO-01,OP-106
S0804-00437,2026-08-04,周二,11:07,10-12,内分泌科病区,住院,血清,血液,3,11:42,11:48,11:55,正常,,7,11:57,12:49,102,120,否,前处理-B线,MICRO-01,OP-101
S0804-00438,2026-08-04,周二,10:12,10-12,急诊采血,急诊,血清,凝血,1,10:20,10:22,10:28,正常,,6,10:36,10:58,46,60,否,前处理-A线,HEM-01,OP-108
S0804-00439,2026-08-04,周二,08:10,07-10 早高峰,门诊采血中心,门诊,血清,免疫,17,08:26,08:31,08:49,正常,,18,08:51,09:42,92,120,否,前处理-A线,IMM-01,OP-103
S0804-00440,2026-08-04,周二,12:17,12-14,门诊采血中心,门诊,血浆,免疫,10,12:41,12:46,13:17,报错,离心异常,31,13:20,14:06,109,120,否,前处理-B线,IMM-01,OP-108
S0804-00441,2026-08-04,周二,15:11,14-17,心内科病区,住院,全血,生化,15,15:54,15:57,16:01,正常,,4,16:09,17:01,110,120,否,前处理-B线,HEM-02,OP-107
S0804-00442,2026-08-04,周二,16:09,14-17,门诊采血中心,门诊,血清,生化,9,16:26,16:31,16:39,正常,,8,16:44,17:23,74,120,否,前处理-手工台,COAG-01,OP-104
S0804-00443,2026-08-04,周二,08:17,07-10 早高峰,门诊采血中心,门诊,全血,免疫,17,08:37,08:40,09:03,正常,,23,09:10,10:05,108,120,否,前处理-手工台,IMM-02,OP-101
S0804-00444,2026-08-04,周二,10:23,10-12,ICU,住院,血清,生化,9,11:12,11:17,11:24,正常,,7,11:32,12:09,106,90,是,前处理-A线,COAG-01,OP-108
S0804-00445,2026-08-04,周二,15:10,14-17,肾内科病区,住院,全血,免疫,7,16:01,16:07,16:12,正常,,5,16:14,16:47,97,120,否,前处理-A线,HEM-02,OP-101
S0804-00446,2026-08-04,周二,09:29,07-10 早高峰,门诊采血中心,门诊,血清,生化,14,09:52,09:57,10:22,正常,,25,10:27,10:55,86,120,否,前处理-手工台,BIO-02,OP-101
S0804-00447,2026-08-04,周二,12:27,12-14,门诊采血中心,门诊,血清,生化,18,12:41,12:44,12:53,正常,,9,13:00,13:48,81,120,否,前处理-A线,IMM-02,OP-101
S0804-00448,2026-08-04,周二,07:18,07-10 早高峰,儿科门诊采血窗口,门诊,血清,免疫,4,07:28,07:33,07:53,正常,,20,08:00,08:32,74,120,否,前处理-手工台,BIO-02,OP-108
S0804-00449,2026-08-04,周二,07:34,07-10 早高峰,ICU,住院,血清,血液,3,08:20,08:26,08:40,正常,,14,08:43,09:19,105,90,是,前处理-B线,COAG-01,OP-101
S0804-00450,2026-08-04,周二,14:21,14-17,ICU,住院,血清,免疫,13,15:02,15:04,15:08,正常,,4,15:15,16:02,101,90,是,前处理-A线,HEM-01,OP-107
S0804-00451,2026-08-04,周二,08:22,07-10 早高峰,心内科病区,住院,尿液,微生物,4,08:42,08:48,09:04,正常,,16,09:10,12:16,234,120,是,前处理-B线,HEM-02,OP-103
S0804-00452,2026-08-04,周二,16:03,14-17,消化科病区,住院,血清,生化,16,16:55,16:58,17:02,正常,,4,17:07,17:27,84,120,否,前处理-B线,BIO-02,OP-108
S0804-00453,2026-08-04,周二,09:08,07-10 早高峰,心内科病区,住院,尿液,免疫,14,10:02,10:03,10:17,正常,,14,10:19,10:57,109,120,否,前处理-A线,IMM-02,OP-105
S0804-00454,2026-08-04,周二,10:20,10-12,消化科病区,住院,血清,免疫,15,10:42,10:48,10:53,正常,,5,11:01,11:32,72,120,否,前处理-B线,BIO-02,OP-103
S0804-00455,2026-08-04,周二,08:57,07-10 早高峰,急诊采血,急诊,其他,血液,4,09:10,09:15,09:38,正常,,23,09:43,10:38,101,60,是,前处理-手工台,MICRO-01,OP-107
S0804-00456,2026-08-04,周二,09:52,07-10 早高峰,心内科病区,住院,血清,生化,15,10:37,10:40,11:03,正常,,23,11:09,12:02,130,120,是,前处理-手工台,IMM-02,OP-105
S0804-00457,2026-08-04,周二,12:13,12-14,心内科病区,住院,血清,免疫,2,12:53,12:57,13:06,正常,,9,13:10,13:47,94,120,否,前处理-B线,COAG-01,OP-104
S0804-00458,2026-08-04,周二,12:37,12-14,体检中心,体检,血清,生化,17,12:46,12:49,12:57,正常,,8,13:01,13:27,50,240,否,前处理-B线,HEM-01,OP-102
S0804-00459,2026-08-04,周二,13:20,12-14,体检中心,体检,全血,免疫,15,13:37,13:42,13:51,正常,,9,13:58,14:44,84,240,否,前处理-手工台,HEM-01,OP-103
S0804-00460,2026-08-04,周二,12:35,12-14,门诊采血中心,门诊,血清,生化,13,12:48,12:52,13:01,正常,,9,13:03,13:39,64,120,否,前处理-A线,MICRO-01,OP-102
S0804-00461,2026-08-04,周二,08:08,07-10 早高峰,急诊采血,急诊,血浆,生化,15,08:30,08:31,08:55,正常,,24,09:02,09:57,109,60,是,前处理-手工台,HEM-01,OP-103
S0804-00462,2026-08-04,周二,16:54,14-17,内分泌科病区,住院,血清,生化,14,17:28,17:29,17:37,正常,,8,17:41,18:16,82,120,否,前处理-B线,BIO-01,OP-102
S0804-00463,2026-08-04,周二,10:30,10-12,门诊采血中心,门诊,血浆,免疫,3,10:41,10:46,10:53,正常,,7,10:57,11:17,47,120,否,前处理-手工台,HEM-02,OP-103
S0804-00464,2026-08-04,周二,08:16,07-10 早高峰,急诊采血,急诊,尿液,生化,1,08:29,08:33,08:56,正常,,23,09:04,09:35,79,60,是,前处理-B线,HEM-01,OP-102
S0804-00465,2026-08-04,周二,13:00,12-14,门诊采血中心,门诊,血清,生化,4,13:20,13:26,13:34,正常,,8,13:40,14:25,85,120,否,前处理-手工台,IMM-02,OP-108
S0804-00466,2026-08-04,周二,19:53,17-20,门诊采血中心,门诊,血清,生化,11,20:06,20:11,20:17,正常,,6,20:22,21:13,80,120,否,前处理-A线,HEM-01,OP-106
S0804-00467,2026-08-04,周二,07:06,07-10 早高峰,肾内科病区,住院,全血,生化,1,07:48,07:52,08:05,正常,,13,08:13,08:57,111,120,否,前处理-A线,IMM-01,OP-108
S0804-00468,2026-08-04,周二,10:32,10-12,儿科门诊采血窗口,门诊,尿液,生化,5,10:54,10:57,11:19,报错,样本量不足,22,11:23,12:08,96,120,否,前处理-B线,COAG-01,OP-104
S0804-00469,2026-08-04,周二,11:41,10-12,体检中心,体检,血清,免疫,5,11:57,11:58,12:04,正常,,6,12:06,12:40,59,240,否,前处理-A线,HEM-02,OP-101
S0804-00470,2026-08-04,周二,17:20,17-20,体检中心,体检,全血,生化,16,17:32,17:37,17:45,正常,,8,17:53,18:17,57,240,否,前处理-A线,BIO-01,OP-103
S0804-00471,2026-08-04,周二,13:50,12-14,消化科病区,住院,血浆,免疫,7,14:36,14:37,14:47,正常,,10,14:49,15:39,109,120,否,前处理-手工台,IMM-01,OP-105
S0804-00472,2026-08-04,周二,11:11,10-12,心内科病区,住院,血清,生化,14,11:53,11:54,11:59,正常,,5,12:03,12:23,72,120,否,前处理-A线,COAG-01,OP-103
S0804-00473,2026-08-04,周二,13:01,12-14,门诊采血中心,门诊,全血,免疫,5,13:25,13:31,13:35,正常,,4,13:38,14:11,70,120,否,前处理-A线,MICRO-01,OP-103
S0804-00474,2026-08-04,周二,09:08,07-10 早高峰,门诊采血中心,门诊,血清,生化,12,09:28,09:33,09:57,正常,,24,10:04,10:59,111,120,否,前处理-A线,COAG-01,OP-106
S0804-00475,2026-08-04,周二,08:25,07-10 早高峰,心内科病区,住院,血浆,生化,16,09:06,09:08,09:45,报错,样本凝集,37,09:51,10:13,108,120,否,前处理-A线,IMM-02,OP-101
S0804-00476,2026-08-04,周二,07:31,07-10 早高峰,急诊采血,急诊,血浆,免疫,14,07:56,07:58,08:23,正常,,25,08:27,09:13,102,60,是,前处理-A线,HEM-01,OP-103
S0804-00477,2026-08-04,周二,12:12,12-14,ICU,住院,血清,微生物,6,12:36,12:38,12:42,正常,,4,12:47,16:25,253,90,是,前处理-A线,MICRO-01,OP-101
S0804-00478,2026-08-04,周二,08:14,07-10 早高峰,门诊采血中心,门诊,血清,凝血,6,08:33,08:39,08:51,正常,,12,08:55,09:42,88,120,否,前处理-A线,IMM-01,OP-107
S0804-00479,2026-08-04,周二,11:41,10-12,门诊采血中心,门诊,血清,免疫,16,11:54,11:55,12:03,正常,,8,12:06,12:48,67,120,否,前处理-B线,HEM-01,OP-108
S0804-00480,2026-08-04,周二,16:01,14-17,门诊采血中心,门诊,全血,免疫,10,16:10,16:16,16:24,正常,,8,16:31,17:18,77,120,否,前处理-A线,BIO-02,OP-104
S0804-00481,2026-08-04,周二,08:13,07-10 早高峰,ICU,住院,血清,微生物,1,09:02,09:05,09:20,正常,,15,09:26,13:35,322,90,是,前处理-B线,HEM-02,OP-102
S0804-00482,2026-08-04,周二,17:51,17-20,门诊采血中心,门诊,全血,生化,18,18:09,18:12,18:20,正常,,8,18:28,18:59,68,120,否,前处理-A线,COAG-01,OP-108
S0804-00483,2026-08-04,周二,09:19,07-10 早高峰,呼吸科病区,住院,血清,微生物,1,09:56,10:00,10:42,报错,溶血,42,10:47,12:50,211,120,是,前处理-B线,HEM-02,OP-101
S0804-00484,2026-08-04,周二,09:45,07-10 早高峰,门诊采血中心,门诊,血清,生化,18,10:08,10:09,10:28,正常,,19,10:35,10:59,74,120,否,前处理-B线,HEM-02,OP-104
S0804-00485,2026-08-04,周二,07:47,07-10 早高峰,儿科门诊采血窗口,门诊,血浆,生化,7,08:08,08:14,08:37,正常,,23,08:41,09:16,89,120,否,前处理-A线,IMM-02,OP-106
S0804-00486,2026-08-04,周二,07:15,07-10 早高峰,心内科病区,住院,血清,微生物,6,07:47,07:49,08:21,正常,,32,08:26,10:44,209,120,是,前处理-B线,MICRO-01,OP-108
S0804-00487,2026-08-04,周二,18:02,17-20,内分泌科病区,住院,血清,免疫,7,18:44,18:48,18:53,正常,,5,18:59,19:28,86,120,否,前处理-A线,COAG-01,OP-101
S0804-00488,2026-08-04,周二,09:19,07-10 早高峰,内分泌科病区,住院,全血,免疫,18,09:53,09:56,10:20,正常,,24,10:28,11:12,113,120,否,前处理-手工台,BIO-01,OP-106
S0804-00489,2026-08-04,周二,08:18,07-10 早高峰,消化科病区,住院,全血,免疫,18,09:03,09:04,09:22,正常,,18,09:24,09:52,94,120,否,前处理-A线,COAG-01,OP-106
S0804-00490,2026-08-04,周二,07:56,07-10 早高峰,心内科病区,住院,血清,微生物,4,08:16,08:22,08:49,正常,,27,08:56,13:21,325,120,是,前处理-A线,IMM-01,OP-102
S0804-00491,2026-08-04,周二,11:00,10-12,体检中心,体检,血清,生化,16,11:13,11:15,11:19,正常,,4,11:25,11:46,46,240,否,前处理-手工台,BIO-01,OP-103
S0804-00492,2026-08-04,周二,16:10,14-17,门诊采血中心,门诊,血清,生化,11,16:34,16:39,16:47,正常,,8,16:55,17:42,92,120,否,前处理-手工台,MICRO-01,OP-108
S0804-00493,2026-08-04,周二,08:21,07-10 早高峰,体检中心,体检,血清,生化,1,08:38,08:42,09:01,正常,,19,09:06,10:00,99,240,否,前处理-B线,BIO-01,OP-106
S0804-00494,2026-08-04,周二,07:30,07-10 早高峰,儿科门诊采血窗口,门诊,血清,凝血,6,07:44,07:50,08:07,正常,,17,08:10,09:04,94,120,否,前处理-手工台,IMM-01,OP-101
S0804-00495,2026-08-04,周二,08:23,07-10 早高峰,ICU,住院,血浆,生化,5,08:43,08:44,08:58,正常,,14,09:05,09:42,79,90,否,前处理-手工台,MICRO-01,OP-102
S0804-00496,2026-08-04,周二,11:10,10-12,内分泌科病区,住院,血清,生化,13,11:37,11:42,11:47,正常,,5,11:54,12:17,67,120,否,前处理-A线,BIO-01,OP-102
S0804-00497,2026-08-04,周二,14:54,14-17,ICU,住院,血清,生化,9,15:37,15:38,15:42,正常,,4,15:44,16:19,85,90,否,前处理-手工台,HEM-01,OP-105
S0804-00498,2026-08-04,周二,09:23,07-10 早高峰,心内科病区,住院,血清,生化,10,10:11,10:16,10:31,正常,,15,10:39,11:09,106,120,否,前处理-B线,COAG-01,OP-106
S0804-00499,2026-08-04,周二,15:58,14-17,儿科门诊采血窗口,门诊,尿液,生化,14,16:11,16:17,16:46,报错,溶血,29,16:51,17:30,92,120,否,前处理-A线,IMM-02,OP-102
S0804-00500,2026-08-04,周二,09:17,07-10 早高峰,急诊采血,急诊,全血,免疫,18,09:35,09:36,09:56,正常,,20,09:59,10:43,86,60,是,前处理-A线,IMM-02,OP-107
S0804-00501,2026-08-04,周二,14:43,14-17,门诊采血中心,门诊,血清,血液,1,14:56,14:58,15:07,正常,,9,15:13,15:44,61,120,否,前处理-手工台,HEM-02,OP-106
S0804-00502,2026-08-04,周二,09:27,07-10 早高峰,门诊采血中心,门诊,血浆,生化,3,09:50,09:55,10:08,正常,,13,10:11,10:53,86,120,否,前处理-B线,BIO-01,OP-108
S0804-00503,2026-08-04,周二,12:23,12-14,心内科病区,住院,血清,免疫,13,13:02,13:03,13:13,正常,,10,13:16,13:49,86,120,否,前处理-A线,BIO-01,OP-102
S0805-00504,2026-08-05,周三,11:03,10-12,急诊采血,急诊,血清,生化,16,11:25,11:30,11:38,正常,,8,11:45,12:28,85,60,是,前处理-手工台,IMM-02,OP-108
S0805-00505,2026-08-05,周三,08:29,07-10 早高峰,呼吸科病区,住院,尿液,生化,1,09:24,09:29,09:54,正常,,25,10:01,10:56,147,120,是,前处理-A线,HEM-01,OP-106
S0805-00506,2026-08-05,周三,15:55,14-17,呼吸科病区,住院,血清,血液,3,16:19,16:20,16:26,正常,,6,16:31,16:53,58,120,否,前处理-A线,IMM-02,OP-104
S0805-00507,2026-08-05,周三,15:25,14-17,儿科门诊采血窗口,门诊,全血,生化,3,15:43,15:47,15:51,正常,,4,15:53,16:36,71,120,否,前处理-A线,BIO-02,OP-107
S0805-00508,2026-08-05,周三,15:18,14-17,门诊采血中心,门诊,全血,血液,6,15:26,15:31,15:35,正常,,4,15:40,16:01,43,120,否,前处理-手工台,IMM-02,OP-104
S0805-00509,2026-08-05,周三,09:03,07-10 早高峰,儿科门诊采血窗口,门诊,血清,血液,4,09:23,09:27,09:44,正常,,17,09:51,10:46,103,120,否,前处理-B线,IMM-02,OP-105
S0805-00510,2026-08-05,周三,11:26,10-12,消化科病区,住院,全血,生化,6,11:48,11:51,12:01,正常,,10,12:07,12:36,70,120,否,前处理-手工台,IMM-01,OP-104
S0805-00511,2026-08-05,周三,19:04,17-20,体检中心,体检,血清,生化,4,19:25,19:27,19:34,正常,,7,19:37,20:26,82,240,否,前处理-手工台,HEM-02,OP-104
